CODE,NAME CLASSIFICATION,VALUE,LEVEL
06.1,"Medical products, appliances and equipment",99.92,subgroup
06.1.1,Pharmaceutical products (ND),99.82,class
06.1.2,Other medical products (ND),98.8,class
06.1.3,Therapeutic appliances and equipment,100.52,class
06.2,Out-patient services,100,subgroup
06.2.1,Medical Services (S),100,class
06.2.3,Paramedical services (S),100,class
06.3,Hospital services,100,subgroup
06.3.1,Hospital services (S),100,class
07,TRANSPORT,98.39,group
07.1,Purchase of vehicles,99.55,subgroup
07.1.1,Motor cars (D),99.47,class
07.1.2,Motor cycles (D),101.4,class
07.1.3,Bicycles (D),106.12,class
07.2,Operation of personal transport equipment,95.42,subgroup
07.2.1,Spare parts and accessories (SD),106.51,class
07.2.2,Fuels and lubricants (ND),86.95,class
07.2.3,Maintenance and repair of personal transport equipment (S),100.23,class
07.2.4,Other services in respect of personal transport equipment (S),117.55,class
07.3,Transport services,99.41,subgroup
07.3.2,Passenger transport by road (S),99.66,class
07.3.3,Passenger transport by air (S),72.26,class
08,COMMUNICATION,100.16,group
08.1,Postal services,158.09,subgroup
08.1.1,Postal services (S),158.09,class
08.2,Telephone and telefax equipment,100.44,subgroup
08.2.1,Telephone and telefax equipment (D),100.44,class
08.3,Telephone and telefax services,99.81,subgroup
08.3.1,Telephone and telefax services (S),99.81,class
09,RECREATION AND CULTURE,105.96,group
09.1,"Audio-visual, photographic and information processing equipment",107.06,subgroup
09.1.1,"Equipment for the reception, recording and reproduction of sound and pictures (D)",108.51,class
09.1.2,Photographic and cinematographic equipment and optical instruments (D),109.8,class
09.1.3,Information processing equipment (D),106.85,class
09.1.4,Recording media (SD),105.25,class
09.2,Other major durables for recreation and culture,108.11,subgroup
09.2.2,Musical instrument and majors durables for indoor recreation (D),108.11,class
09.3,"Other recreational items and equipment, gardens and pets",112.84,subgroup
09.3.1,"Games, toys and hobbies (SD)",113.05,class
09.3.2,"Equipment for sport, camping and open?air recreation (SD)",109.08,class
09.3.3,"Natural & artificial flowers,foliages & plants",114.32,class
09.4,Recreational and cultural services,101.05,subgroup
09.4.1,Recreational and sporting services (S),99.92,class
09.4.2,Cultural services (S),101.36,class
09.5,"Newspapers, books and stationery",105.77,subgroup
09.5.1,Books (SD),105.94,class
09.5.2,Newspapers and periodicals (ND),108.35,class
09.5.4,Stationery and drawing materials (ND),102.1,class
10,EDUCATION,100.46,group
10.1,Pre?primary and primary education,100.73,subgroup
10.1.1,Pre?primary and primary education (S),100.73,class
10.2,Secondary education,100.05,subgroup
10.2.1,Secondary education (S),100.05,class
10.3,Post-secondary non-tertiary education,102.43,subgroup
10.3.1,Post-secondary non-tertiary education (S),102.43,class
10.4,Tertiary education,101.12,subgroup
10.4.1,Tertiary education (S),101.12,class
11,RESTAURANTS AND HOTELS,102.09,group
11.1,Catering services,101.89,subgroup
11.1.1,"Restaurants, caf‚s and the like(S)",101.89,class
11.2,Accommodation services,103.42,subgroup
11.2.1,Accommodation services (S),103.42,class
12,MISCELLANEOUS GOODS AND SERVICES,103.81,group
12.1,Personal care,103.18,subgroup
12.1.1,Hairdressing salons and personal grooming establishments (S),103.12,class
12.1.3,"Other appliances, articles and products for personal care (ND)",103.27,class
12.3,Personal effects n.e.c.,107.29,subgroup
12.3.1,"Jewellery, clocks and watches (D)",103.84,class
12.3.2,Other personal effects (SD),107.8,class
12.5,Insurance,100.02,subgroup
12.5.3,"Health insurance (Mutuelle,RAMA,MMI, etc.)",100.04,class
12.5.4,Insurance connected with transport (S),100,class
12.7,Other services n.e.c.,105.16,subgroup
12.7.0,Security services,105.2,class
12.7.1,Other services n.e.c. (S),105.15,class
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
